,case title,judges name(s),date of judgment,citation,issues,decision,cited cases
15,Pabitra N. Rana vs Union Of India And Ors,"Fazalali, Syed Murtaza","30 January, 1980"," 1980 AIR  798, 1980 SCR  (2) 869",Article 22 in The Constitution Of India 1949 ; ,1,"{'a] pankaj kumar chakraborty & ors. v. state of west bengal ': 1.0, 'sk. abdul karim & ors. v. state of west bengal ': 1.0}"
16,Joga Gola vs State Of Gujarat,"A Koshal, S M Ali","18 January, 1980"," AIR 1982 SC 1227, 1982 CRILJ 1579, 1981 SUPP (1) SCC 66",Section 412 in The Indian Penal Code ; Section 411 in The Indian Penal Code ; Section 396 in The Indian Penal Code ; Section 34 in The Indian Penal Code ; Section 302 in The Indian Penal Code ; ,0,{}
17,Dinanath Singh And Ors vs State Of Bihar,"A Koshal, S M Ali","18 January, 1980"," AIR 1980 SC 1199, 1980 CRILJ 921 A, (1980) 1 SCC 674, 1980 (12) UJ 680 SC","Section 2 in The Supreme Court (Enlargement of Criminal Appellate Jurisdiction) Act, 1970 ; ",1,{}
18,Onkar Nath vs Ved Vyas,"D Desai, V K Iyer","29 January, 1980"," AIR 1980 SC 1218, (1980) 82 PLR 638, (1980) 4 SCC 270",,1,{}
19,Union Of India And Ors. vs Allied Construction Company,"O C Reddy, R Pathak","16 January, 1980"," (1980) 2 SCC 215, 1980 (12) UJ 355 SC","Section 8 in The Arbitration Act, 1940 ; Section 20 in The Arbitration Act, 1940 ; ",0,{}
20,Madhusudan Chhotalal Patel And ... vs Special Land Acquisition Officer ...,"D Desai, E Venkataramiah","8 January, 1980"," AIR 1980 SC 318, 1980 SUPP (1) SCC 364, 1980 SUPP SCC 364","Section 6 in The Land Acquisition Act, 1894 ; Section 4 in The Land Acquisition Act, 1894 ; ",0,"{'ramji popatbhai patel v. jamnadas shah ': 1.0, 'kanaiyalal maneklal chinai v. state of gujarat ': 1.0}"
21,M. R. Mini (Minor) Represented By ... vs State Of Kerala And Anr,"Krishnaiyer, V.R.","28 January, 1980"," 1980 AIR  838, 1980 SCR  (2) 829",Article 32 in The Constitution Of India 1949 ; ,0,{'a-d] dr. jagdish saran & ors. v. union of india & ors ': 1.0}
22,State Of Maharashtra vs Kalu Shivram Jagtap And Ors.,"A Koshal, S M Ali","16 January, 1980"," AIR 1980 SC 879, 1980 CRILJ 570, 1980 SUPP (1) SCC 224, 1980 (12) UJ 632 SC","Section 34 in The Indian Penal Code ; Section 302 in The Indian Penal Code ; Section 326 in The Indian Penal Code ; Section 149 in The Indian Penal Code ; Section 423 in The Code Of Criminal Procedure, 1973 ; ",0,{}
23,State Of Madhya Pradesh vs Shanker Lal & Ors,"Untwalia, N.L.","16 January, 1980"," 1980 AIR  643, 1980 SCR  (2) 786",,0,{}
24,Raj Mohan Mazumdar vs Ram Krishna Dass And Anr.,"A Gupta, P Shinghal","15 January, 1980"," AIR 1980 SC 872, 1980 SUPP (1) SCC 695, 1980 (12) UJ 350 SC",,0,{}
25,Meharban Singh vs Bhagwant Singh,"E Venkataramiah, P Shinghal","17 January, 1980"," AIR 1980 SC 696, (1980) 2 SCC 284, 1980 2 SCR 790","Section 5 in The Transfer of Property Act, 1882 ; Section 4 in The Transfer of Property Act, 1882 ; ",0,"{'meharbansingh and ors. v. nareshsingh and ors ': 0.8, 'haji sk. subhan v. madhorao ': 0.8, 'mahabir gope and ors. v. harbans narain singh and ors ': 0.8, 'harihar prasad singh and anr. v. mst ': 1.0, 'asa ram and anr. v. mst ': 1.0, 'prabhu v. ramdev and ors ': 1.0}"
26,Bachan Singh And Ors. vs State Of Punjab And Ors.,"R Pathak, R Sarkaria","11 January, 1980"," AIR 1980 SC 1355, (1980) 2 SCC 397, 1980 (12) UJ 346 SC",Article 226 in The Constitution Of India 1949 ; ,0,{}
27,Arvind @ Abasaheb Ganesh Kulkarni ... vs Anna @ Dhanpal Parisa Chougule & ...,"Reddy, O. Chinnappa (J)","22 January, 1980"," 1980 AIR  645, 1980 SCR  (2) 816",,0,"{'niamat rai & ors. v. din dayal & ors ': 0.8, 'ram sunder lal & another v. lacchmi narain and another ': 0.8, 'hanooman persaud pandey v. mt. babooee munrai koonweree ': 0.8, 'radhakrishendas and another v. kaluram ': 0.8, 'balmukand v. kamla wati & ors ': 1.0, 'in gauri shankar & ors. v. jiwan singh ors ': 1.0, 'in niamat rai and ors. v. din dayal and ors ': 1.0, 'in ram sunder lal & anr. v. lachhmi narain and anr ': 1.0, 'hanoomanpersaud pandey v. mt. babooee munrai koonweree ': 1.0, 'radhakrishandas and anr. v. kaluram ': 1.0}"
28,Harish Chandra Nigam vs State Of U.F,"Untwalia, N.L.","21 January, 1980"," 1980 AIR  647, 1980 SCR  (2) 809","Section 35 in the Central Excise Act, 1944 ; Section 29 in the Central Excise Act, 1944 ; Article 136 in The Constitution Of India 1949 ; ",0,{}
29,State Of Bihar vs Brahmdeo Prasad And Ors.,"A Koshal, S M Ali","16 January, 1980"," AIR 1980 SC 551, 1980 CRILJ 406, (1980) 3 SCC 411, 1980 (12) UJ 456 SC",Section 302 in The Indian Penal Code ; Section 149 in The Indian Penal Code ; ,0,{}
30,Smt. Kalawati Gupta vs Union Of India (Uoi) And Ors.,"A Koshal, P Kailasam, S M Ali","29 January, 1980"," (1980) 3 SCC 90, 1980 (12) UJ 522 SC",,0,{}
31,Chandroo Kundan Dass Pamnani vs Union Of India (Uoi) And Ors. Etc.,"S M Ali, P Kailasam, A Koshal","30 January, 1980"," AIR 1980 SC 1123, 1980 CRILJ 804, 1980 (12) UJ 513 SC",,0,{}
32,Narendra Bahadur Tandon vs Shankerlal (Since Deceased) By ...,"Reddy, O. Chinnappa (J)","25 January, 1980"," 1980 AIR  575, 1980 SCR  (2) 821",,1,"{'m/s. pierce leslie & co. ltd., v. violat ouchterlong wapshare & ors ': 0.8, 'tulshi ram sahu & anr. v. gur dayal singh & anr ': 0.8, 'mussamat ramman bibi v. mathura prasad & anr ': 1.0, 'tulsi ram sahu & anr. v. gur dayal singh & anr ': 1.0}"
33,Meharbansingh vs Bhagwantsingh And Others,"Shingal, P.N.","17 January, 1980"," 1980 AIR  696, 1980 SCR  (2) 790","Section 5 in The Transfer of Property Act, 1882 ; ",1,"{'meharban singh & ors. v. naresh singh & ors ': 0.8, 'a-b] mahabir gope and others v. harbans narain singh and others ': 0.8, 'narihar prasad singh and another v. mst ': 0.8, 'asa ram and another v. mst ': 1.0, 'prabhu v. ramdev and others ': 1.0, 'meharbansingh and others v. nareshsingh and others ': 1.0, 'haji sk. subhan v. madhorao ': 1.0, 'harihar prasad singh and another v. mst ': 1.0}"
34,Gedda Raminaidu And Ors vs State Of Andhra Pradesh,"A Koshal, S M Ali","22 January, 1980"," AIR 1980 SC 2127, 1980 CRILJ 1477, (1980) 1 SCC 676, 1980 (12) UJ 567 SC","Section 395 in The Indian Penal Code ; Section 397 in The Indian Penal Code ; Section 148 in The Indian Penal Code ; Section 428 in The Code Of Criminal Procedure, 1973 ; ",0,{}
35,Ashok Kumar vs State (Delhi Administration),"Krishnaiyer, V.R.","29 January, 1980"," 1980 AIR  636, 1980 SCR  (2) 863",Section 411 in The Indian Penal Code ; ,0,{}
36,Tavangowda Tamangowda Patil And ... vs Yellappa Krishna Muchandi And ...,"N Untwalia, O C Reddy","15 January, 1980"," AIR 1980 SC 590, (1980) 3 SCC 105, 1980 (12) UJ 337 SC",,0,{'mst subhadra v. narsaji chenaji marwad ': 1.0}
37,Satbir vs State Of Uttar Pradesh,"O C Reddy, R Sarkaria","21 January, 1980"," AIR 1982 SC 1216, 1982 CRILJ 1743, 1981 SUPP (1) SCC 54",,1,{}
38,Piara Singh And Ors. vs State Of Punjab,"A Koshal, S M Ali","18 January, 1980"," AIR 1980 SC 1315, 1980 CRILJ 1014, (1980) 3 SCC 302, 1980 (12) UJ 442 SC",,1,{}
39,Tara Chand vs State Of Rajasthan And Ors.,"A Koshal, S M Ali","13 February, 1980"," AIR 1980 SC 1361, 1982 52 COMPCAS 53 SC, 1980 CRILJ 1015, (1980) 2 SCC 321, 1980 (12) UJ 336 SC","Section 11 in the Conservation of Foreign Exchange and Prevention of Smuggling Activities Act, 1974 ; ",1,{}
40,Jolly George Verghese & Anr vs The Bank Of Cochin,"Krishnaiyer, V.R.","4 February, 1980"," 1980 AIR  470, 1980 SCR  (2) 913",Article 11 in The Constitution Of India 1949 ; Article 21 in The Constitution Of India 1949 ; order 21 rule 37 ; ,1,"{'sunil batra v. delhi administration ': 1.0, 'sita ram & ors. v. state of u.p ': 1.0}"
41,"All Saints High School, Hyderabad ... vs Government Of Andhra Pradesh & ...","Chandrachud, Y.V. ((Cj)","4 February, 1980"," 1980 AIR 1042, 1980 SCR  (2) 924","Article 30 in The Constitution Of India 1949 ; Section 3 in The Insurance Act, 1938 ; ",1,"{'d.a.v. college v. state of punjab ': 0.8, 'xaviers college society v. state of gujarat ': 0.8, 'sidhajbhai sabhai and ors. v. state of bombay and anr ': 0.8, 'rev. father w. proost & ors. v. state of bihar ': 0.8, 'rev. father w. proost and ors. v. state of bihar & ors ': 0.8, 'f] the state of west bengal v. subhodh gopal bose and ors ': 0.8, 'kedar nath singh v. state of bihar ': 0.8, 'rev. sidhajbhai sabhai and ors. v. state of bombay & anr. in ': 1.0, 'lilly kurian v. sr. lewin & ors. in ': 1.0, 'in rev. sidhajbhai sabhai & ors. v. state of bombay & anr ': 1.0, 'rev. father w. proost and ors. v. the state of bihar and ors ': 1.0, 'in state of kerala v. very rev. mother province ': 1.0, 'g.f. college shahajahanpur v. university of agra and anr ': 1.0, 'in lilly kurian v. sr. lewina and ors ': 1.0, 'in the state of west bengal v. subodh gopal bose and ors ': 1.0, 'kesavananda bharti v. state of kerala ': 1.0, 'the bengal immunity co. ltd. v. the state of bihar ': 1.0, 'r.m.d. chamaurbaugwalla v. the union of india ': 1.0, 'indian iron and steel co. ltd. v. their workmen ': 1.0}"
42,Hazari Lal vs Delhi Administration,"Sarkaria, Ranjit Singh","15 February, 1980"," 1980 AIR  873, 1980 SCR  (2)1051",Section 161 in The Indian Penal Code ; ,0,"{'suraj mal v. the state (delhi administration ': 0.8, 'sita ram v. the state of rajasthan ': 0.8, 'in sita ram v. the state of rajasthan ': 1.0, 'in suraj mal v. the state (delhi administration ': 1.0}"
43,Ramchandra A. Kamat vs Union Of India And Ors,"Kailasam, P.S.","20 February, 1980"," 1980 AIR  765, 1980 SCR  (2)1072",Article 32 in The Constitution Of India 1949 ; ,0,{'jayanarayan sukul v. state of west bengal ': 1.0}
44,Frances Coralie Mullin vs W. C. Khambra & Ors,"Reddy, O. Chinnappa (J)","27 February, 1980"," 1980 AIR  849, 1980 SCR  (2)1095",Article 32 in The Constitution Of India 1949 ; ,0,"{'jayanarayan sukul v. state of west bengal ': 0.8, 'ramachandra a. kamat v. union of india judgment ': 0.8, 'prabhakar shankar dhuri v. s. s. pradhan ': 0.8, 'ramchandra a. kamat v. union of india & ors ': 1.0, 'nagendra nath mondal v. the state of west bengal ': 1.0, 'in prabhakar shankar dhuri v. s. s. pradhan ': 1.0}"
45,Shyam Ambalal Siroya vs Union Of India And Others,"Kailasam, P.S.","20 February, 1980"," 1980 AIR  789, 1980 SCR  (2)1078","Section 11 in the Conservation of Foreign Exchange and Prevention of Smuggling Activities Act, 1974 ; Article 32 in The Constitution Of India 1949 ; ",0,{}
46,State Of Maharashtra vs P.K. Pathak,"A Koshal, S M Ali","5 February, 1980"," AIR 1980 SC 1224, (1980) 82 BOMLR 418, 1980 CRILJ 923, 1983 (13) ELT 1628 SC, (1980) 2 SCC 259, 1980 (12) UJ 320 SC","Section 135 in the Customs Act, 1962 ; ",0,{}
47,P. S. R. Sadhanantham vs Arunachalam & Anr,"Krishnaiyer, V.R., Fazalali, Syed Murtaza, Desai, D.A., Pathak, R.S., Koshal, A.D.","1 February, 1980"," 1980 AIR  856, 1980 SCR  (2) 873",Article 136 in The Constitution Of India 1949 ; Article 21 in The Constitution Of India 1949 ; Section 302 in The Indian Penal Code ; Article 32 in The Constitution Of India 1949 ; ,0,"{'arunachalam v. s. r. sadhananthan ': 0.8, ""attorney-general of the gambia v. pierra sarr n'jie "": 0.8, 'bar council of maharashtra v. m. v. dabholkar ': 0.8, 'bharat bank ltd. v. employees of the bharat bank ltd ': 1.0, 'durga shankar mehta v. thakur raghuraj singh and others ': 1.0, ""attorney-general of the gambia v. pierra sarr n' jie "": 1.0, 'arunachalam v. p.s.r. sadhanantham ': 1.0, 'bharat bank ltd. v. employees of the bharat bank ltd. as ': 1.0}"
48,State Of U.P vs Ram Babu Misra,"Reddy, O. Chinnappa (J)","19 February, 1980"," 1980 AIR  791, 1980 SCR  (2)1067","Section 73 in The Indian Evidence Act, 1872 ; Section 5 in The Identification of Prisoners Act, 1920 ; section 73 of evidence act ; section 73 evidence ; ",0,"{'state of bombay v. kathi kalu oghad ': 0.8, 't. subbaiah v. s. k. d. ramaswamy nadar ': 0.8, 'farid ahmed v. the state ': 0.8, 'dharamvir singh v. state ': 0.8, 'brij bhushan raghunandan pd. v. the state ': 0.8, 'gulzar khan and ors. v. state ': 1.0, 'b. rami reddy and ors. v. state of a.p ': 1.0, 'state (delhi administration) v. pali ram ': 1.0, 't. subbiah v. s. k. d. ramaswamy nadar ': 1.0, 'brij bhushan raghunandan prasad v. the state ': 1.0, 'gulzar khan & ors. v. state ': 1.0, 'b. rami reddy & ors. v. state of andhra pradesh ': 1.0}"
49,"The Tulsipur Sugar Co. Ltd vs The Notified Area Committee, ...","Venkataramiah, E.S. (J)","27 February, 1980"," 1980 AIR  882, 1980 SCR  (2)1111","Section 3 in The Uttar Pradesh Appropriation Act, 1996 ; Section 39 in The Factories Act, 1948 ; ",0,"{'queen v. burah ': 0.8, 'mohinder singh gill & anr. v. the chief election commissioner, new delhi & ors ': 0.8, 'maneka gandhi v. union of india ': 0.8, 'union of india & ors., mohinder singh gill & anr. v. the chief election commissioner ': 1.0, 'new delhi & ors. and maneka gandhi v. union of india ': 1.0, 'in basant kumar sarkar & ors. v. eagle rolling mills ltd. & ors ': 1.0, 'bangalore woollen, cotton and silk mills co. ltd., bangalore v. the corporation of the city of bangalore ': 1.0}"
50,"Director Of Industries, U.P. And ... vs Deep Chand Aggarwal","Venkataramiah, E.S. (J)","6 February, 1980"," 1980 AIR  801, 1980 SCR  (2)1015","Article 14 in The Constitution Of India 1949 ; Section 3 in The Uttar Pradesh Appropriation Act, 1996 ; Article 226 in The Constitution Of India 1949 ; article 14 constitution ; ",0,"{'northern indian caterers p. ltd. and anr. v. state of punjab and anr ': 0.8, 'firm tilak ram bux v. state of punjab & ors ': 0.8, 'maganlal chhagganlal (p) ltd. v. municipal corporation of greater bombay and ors ': 0.8, 'northern india caterers private ltd., & anr. v. state of punjab & anr ': 1.0, 'maganlal chhagganlal (p) ltd. v. municipal corporation of greater bombay & ors ': 1.0, 'shri manna lal & anr. v. collector of jhalawar & ors ': 1.0, 'tilak ram ram bux v. state of punjab & ors ': 1.0}"
51,State Of U.P. vs Tipper Chand,"A Koshal, P Kailasam, S M Ali","22 February, 1980"," AIR 1980 SC 1522, (1980) 2 SCC 341, 1980 (12) UJ 686 SC","Section 34 in The Arbitration Act, 1940 ; ",0,{'ram lal v. punjab state ': 1.0}
52,"P. N. Eswara Iyer vs The Registrar, Supreme Court Of ...","Krishnaiyer, V.R., Fazalali, Syed Murtaza, Desai, D.A., Pathak, R.S., Koshal, A.D.","1 February, 1980"," 1980 AIR  808, 1980 SCR  (2) 889",Article 137 in The Constitution Of India 1949 ; Article 32 in The Constitution Of India 1949 ; Article 145 in The Constitution Of India 1949 ; ,0,{'h] sow chandra kanta and anr. v. sheikh habib ': 1.0}
53,Kalyani (Dead) By Lrs. vs Narayanan And Ors.,"A Sen, D Desai, V Tulzapurkar","27 February, 1980"," AIR 1980 SC 1173, 1980 SUPP (1) SCC 298, 1980 2 SCR 1130",,1,"{'smt. krishnabai bhritar ganpatrao deshmukh v. appasaheb tuljaramarao nimbalkar and ors ': 0.8, 'girja bai v. sadashiv ': 0.8, 'kandaswami v. doraiswami ayyar ': 0.8, 'brijraj singh v. sheodan singh ': 0.8, 'm.n. aryamurthy and anr. v. m.d. subbaraya setty ': 1.0, 'lakshmi chand v. anandi ': 1.0, 'raghavamma v. chenchamma ': 1.0, 'palani ammal v. muthuvenkatachala moniagar ': 1.0, 'in bhagwan dayal v. smt. reoti devi ': 1.0, 'in boddu venkatakrishna rao and ors. v. boddu satyavathi and ors ': 1.0}"
54,Prabhakar Jasappa Kanguni vs State Of Maharashtra,"O C Reddy, R Sarkaria","15 February, 1980"," AIR 1982 SC 1217, 1982 CRILJ 1572, (1982) 1 SCC 426",Section 302 in The Indian Penal Code ; Section 313 in The Indian Penal Code ; Article 136 in The Constitution Of India 1949 ; ,1,{}
55,Shah Gumman Mal vs The State Of Andhra Pradesh,"Fazalali, Syed Murtaza","6 February, 1980"," 1980 AIR  793, 1980 SCR  (2)1005","Section 106 in The Indian Evidence Act, 1872 ; Section 111 in the Customs Act, 1962 ; Section 114 in The Indian Evidence Act, 1872 ; Section 123 in the Customs Act, 1962 ; section 111 a ; section 106 evidence act ; ",0,"{'issardas daulat ram & ors. v. the union of india & ors ': 0.8, 'commissioner of income tax, madras v. messrs best & co ': 0.8, 'collector of customs, madras & ors. v. d. bhoormul ': 0.8, 'labchand dhanpat singh jain v. the state of maharashtra ': 0.8, 'balumal jamnadas batra v. state of maharashtra ': 1.0, 'berham khurshed pesikaka v. state of bombay ': 1.0, 'berham khurshed pesikaka v. the state of bombay ': 1.0, 'collector of customs, madras & ors. v. d.bhoormull ': 1.0, 'issardas daulat ram & ors. v. union of india & ors ': 1.0}"
56,Panna Lal vs Shri Chand Mal And Ors.,"A Koshal, P Kailasam, S M Ali","8 February, 1980"," AIR 1980 SC 871, (1980) 2 SCC 314","Section 31 in The Motor Vehicles Act, 1988 ; ",0,{}
57,Mrs. Kunda S. Kadam vs Dr. K.K. Soman And Ors.,"R Pathak, V K Iyer","13 February, 1980"," AIR 1980 SC 881, 1980 LABLC 593, (1980) 2 SCC 355",,0,{}
58,State Of Mysore And Anr. vs R. Basappa And Ors.,"A Koshal, P Kailasam, S M Ali","8 February, 1980"," (1981) 3 SCC 659, 1980 (12) UJ 506 SC","Article 309 in The Constitution Of India 1949 ; Section 7 in The States Reorganisation Act, 1956 ; 'article 309 ORR army rules 1954' ; ",0,"{'n. raghavendra rao v. deputy commissioner, south kanara, mangalore ': 1.0}"
59,Union Of India Etc vs K. R. Tahiliani & Anr,"Krishnaiyer, V.R.","26 February, 1980"," 1980 AIR  953, 1980 SCR  (2)1092",Article 309 in The Constitution Of India 1949 ; Article 226 in The Constitution Of India 1949 ; ,0,{}
60,Rallis India Ltd vs State Of Andhra Pradesh,"Koshal, A.D.","12 February, 1980"," 1980 AIR  749, 1980 SCR  (2)1028","Section 6 in The Andhra Pradesh Legislative Council Act, 2005 ; Section 15 in the Central Excise Act, 1944 ; ",0,"{'daita suryanarayana and company v. state of andhra pradesh ': 1.0, 'vadivelu chetty v. commercial tax officer ': 1.0}"
61,Mantoo Majumdar & Basdev Singh vs State Of Bihar,"Krishnaiyer, V.R.","27 February, 1980"," 1980 AIR  847, 1980 SCR  (2)1105",Article 21 in The Constitution Of India 1949 ; Article 32 in The Constitution Of India 1949 ; ,0,{}
62,State Of Gujarat vs Maheshkumar Dhirajlal Thakkar,"O C Reddy, R Sarkaria","13 February, 1980"," AIR 1980 SC 1167, 1980 CRILJ 919, (1980) 0 GLR 752, (1980) 2 SCC 322, 1980 (12) UJ 579 SC",Section 168 in The Indian Penal Code ; section 168 of indian penal code ; ,0,{}
63,Kasambhai Abdulrehmanbhai ... vs State Of Gujarat And Anr.,"A Sen, P Bhagwati","13 February, 1980"," AIR 1980 SC 854, 1980 CRILJ 553, (1980) 0 GLR 60, (1980) 82 PLR 549, (1980) 3 SCC 120, 1980 2 SCR 1037, 1980 (12) UJ 571 SC","Section 7 in The Prevention of Food Adulteration Act, 1954 ; Article 21 in The Constitution Of India 1949 ; ",0,{}
64,Nirod Baran Banerjee vs Dy. Commissioner Of Hazari Bagh,"Fazalali, Syed Murtaza","14 February, 1980"," 1980 AIR 1109, 1980 SCR  (2)1043","Article 299 in The Constitution Of India 1949 ; Section 30 in The Land Acquisition Act, 1894 ; Section 18 in The Land Acquisition Act, 1894 ; ",0,"{'kalyanpur lime works ltd. v. state of bihar and anr ': 0.8, 'mulamchand v. state of madhya pradesh ': 0.8, 'state of west bengal v. m/s. b. k. mondal and sons ': 0.8, 'laliteshwari 1046 prasad sahi v. baseshwar prasad & ors ': 1.0, 'bihar eastern gangetic fisherman co-operative society ltd. v. sipahi singh and ors ': 1.0, 'the marine cooled (bengal) p. ltd. v. union of india ': 1.0}"
65,Subhash Chandra And Ors vs State Of U.P. And Ors,"Krishnaiyer, V.R.","12 February, 1980"," 1980 AIR  800, 1980 SCR  (2)1024","Section 51 in The Motor Vehicles Act, 1988 ; Section 38 in The Motor Vehicles Act, 1988 ; ",0,{'masi ullah v. state tribunal appellate ': 1.0}
